ETTm1_small.py_ctx720_pred336: MAE=0.3998, MSE=0.4246
ETTm1_small.py_ctx720_pred720: MAE=0.4753, MSE=0.5811
ETTm1_small.py_ctx1024_pred96: MAE=0.3412, MSE=0.3295
ETTm1_small.py_ctx1024_pred192: MAE=0.3756, MSE=0.3837
ETTm1_small.py_ctx1024_pred336: MAE=0.4391, MSE=0.5104
ETTm1_small.py_ctx1024_pred720: MAE=0.5193, MSE=0.696
ETTm1_small.py_ctx2048_pred96: MAE=0.5467, MSE=0.7542
ETTm1_small.py_ctx2048_pred192: MAE=0.5574, MSE=0.789
ETTm1_small.py_ctx2048_pred336: MAE=0.5662, MSE=0.8075
ETTm1_small.py_ctx2048_pred720: MAE=0.5676, MSE=0.8138
ETTm2_base.py_ctx512_pred96: MAE=0.248, MSE=0.1807
ETTm2_base.py_ctx512_pred192: MAE=0.2913, MSE=0.2433
ETTm2_base.py_ctx512_pred336: MAE=0.3279, MSE=0.298
ETTm2_base.py_ctx512_pred720: MAE=0.3883, MSE=0.3951
ETTm2_base.py_ctx720_pred96: MAE=0.2459, MSE=0.1797
ETTm2_base.py_ctx720_pred192: MAE=0.2907, MSE=0.2438
ETTm2_base.py_ctx720_pred336: MAE=0.3294, MSE=0.3004
ETTm2_base.py_ctx720_pred720: MAE=0.3896, MSE=0.394
ETTm2_base.py_ctx1024_pred96: MAE=0.2473, MSE=0.1808
ETTm2_base.py_ctx1024_pred192: MAE=0.2922, MSE=0.2466
ETTm2_base.py_ctx1024_pred336: MAE=0.332, MSE=0.305
ETTm2_base.py_ctx1024_pred720: MAE=0.3914, MSE=0.3931
ETTm2_base.py_ctx2048_pred96: MAE=0.3056, MSE=0.2364
ETTm2_base.py_ctx2048_pred192: MAE=0.3532, MSE=0.3112
ETTm2_base.py_ctx2048_pred336: MAE=0.3818, MSE=0.3556
ETTm2_base.py_ctx2048_pred720: MAE=0.4121, MSE=0.3997
ETTm2_small.py_ctx512_pred96: MAE=0.2481, MSE=0.1794
ETTm2_small.py_ctx512_pred192: MAE=0.2926, MSE=0.2436
ETTm2_small.py_ctx512_pred336: MAE=0.3318, MSE=0.3027
ETTm2_small.py_ctx512_pred720: MAE=0.396, MSE=0.4061
ETTm2_small.py_ctx720_pred96: MAE=0.2459, MSE=0.1794
ETTm2_small.py_ctx720_pred192: MAE=0.2917, MSE=0.2458
ETTm2_small.py_ctx720_pred336: MAE=0.332, MSE=0.3065
ETTm2_small.py_ctx720_pred720: MAE=0.4011, MSE=0.4068
ETTm2_small.py_ctx1024_pred96: MAE=0.2494, MSE=0.1827
ETTm2_small.py_ctx1024_pred192: MAE=0.2976, MSE=0.2517
ETTm2_small.py_ctx1024_pred336: MAE=0.3547, MSE=0.3302
ETTm2_small.py_ctx1024_pred720: MAE=0.4196, MSE=0.4193
ETTm2_small.py_ctx2048_pred96: MAE=0.4341, MSE=0.4304
ETTm2_small.py_ctx2048_pred192: MAE=0.4427, MSE=0.442
ETTm2_small.py_ctx2048_pred336: MAE=0.4456, MSE=0.4405
ETTm2_small.py_ctx2048_pred720: MAE=0.4451, MSE=0.4338
Weather_base.py_ctx512_pred96: MAE=0.2035, MSE=0.1701
Weather_base.py_ctx512_pred192: MAE=0.2472, MSE=0.2165
Weather_base.py_ctx512_pred336: MAE=0.2883, MSE=0.2718
Weather_base.py_ctx512_pred720: MAE=0.3406, MSE=0.3507
Weather_base.py_ctx720_pred96: MAE=0.1975, MSE=0.1642
Weather_base.py_ctx720_pred192: MAE=0.2421, MSE=0.2107
Weather_base.py_ctx720_pred336: MAE=0.2831, MSE=0.2662
Weather_base.py_ctx720_pred720: MAE=0.3383, MSE=0.35
Weather_base.py_ctx1024_pred96: MAE=0.1976, MSE=0.1637
Weather_base.py_ctx1024_pred192: MAE=0.2446, MSE=0.2129
Weather_base.py_ctx1024_pred336: MAE=0.2871, MSE=0.269
Weather_base.py_ctx1024_pred720: MAE=0.3354, MSE=0.3397
Weather_base.py_ctx2048_pred96: MAE=0.2235, MSE=0.1826
Weather_base.py_ctx2048_pred192: MAE=0.2699, MSE=0.2371
Weather_base.py_ctx2048_pred336: MAE=0.3052, MSE=0.2857
Weather_base.py_ctx2048_pred720: MAE=0.3447, MSE=0.3435
Weather_small.py_ctx512_pred96: MAE=0.202, MSE=0.1698
Weather_small.py_ctx512_pred192: MAE=0.2468, MSE=0.2173
Weather_small.py_ctx512_pred336: MAE=0.2908, MSE=0.2761
Weather_small.py_ctx512_pred720: MAE=0.3457, MSE=0.3586
Weather_small.py_ctx720_pred96: MAE=0.1982, MSE=0.1644
Weather_small.py_ctx720_pred192: MAE=0.2443, MSE=0.2132
Weather_small.py_ctx720_pred336: MAE=0.2889, MSE=0.2739
Weather_small.py_ctx720_pred720: MAE=0.3441, MSE=0.3548
Weather_small.py_ctx1024_pred96: MAE=0.2007, MSE=0.1657
Weather_small.py_ctx1024_pred192: MAE=0.2495, MSE=0.2171
Weather_small.py_ctx1024_pred336: MAE=0.2902, MSE=0.272
Weather_small.py_ctx1024_pred720: MAE=0.3424, MSE=0.3497
Weather_small.py_ctx2048_pred96: MAE=0.3537, MSE=0.345
Weather_small.py_ctx2048_pred192: MAE=0.3705, MSE=0.3772
Weather_small.py_ctx2048_pred336: MAE=0.3798, MSE=0.3955
Weather_small.py_ctx2048_pred720: MAE=0.39, MSE=0.4138
