ETTm1_large.py_ctx720_pred192: MAE=0.3775, MSE=0.3935
ETTm1_large.py_ctx720_pred336: MAE=0.3971, MSE=0.4315
ETTm1_large.py_ctx720_pred720: MAE=0.429, MSE=0.4919
ETTm1_large.py_ctx1024_pred96: MAE=0.3554, MSE=0.3559
ETTm1_large.py_ctx1024_pred192: MAE=0.3806, MSE=0.3998
ETTm1_large.py_ctx1024_pred336: MAE=0.3991, MSE=0.4325
ETTm1_large.py_ctx1024_pred720: MAE=0.4271, MSE=0.4846
ETTm1_large.py_ctx2048_pred96: MAE=0.3516, MSE=0.3345
ETTm1_large.py_ctx2048_pred192: MAE=0.3722, MSE=0.3639
ETTm1_large.py_ctx2048_pred336: MAE=0.3879, MSE=0.3882
ETTm1_large.py_ctx2048_pred720: MAE=0.4135, MSE=0.4295
ETTm2_base.py_ctx512_pred96: MAE=0.2643, MSE=0.1963
ETTm2_base.py_ctx512_pred192: MAE=0.3049, MSE=0.261
ETTm2_base.py_ctx512_pred336: MAE=0.3419, MSE=0.3238
ETTm2_base.py_ctx512_pred720: MAE=0.3965, MSE=0.4107
ETTm2_base.py_ctx720_pred96: MAE=0.2629, MSE=0.1954
ETTm2_base.py_ctx720_pred192: MAE=0.3037, MSE=0.2593
ETTm2_base.py_ctx720_pred336: MAE=0.3389, MSE=0.3142
ETTm2_base.py_ctx720_pred720: MAE=0.3923, MSE=0.3953
ETTm2_base.py_ctx1024_pred96: MAE=0.2651, MSE=0.1964
ETTm2_base.py_ctx1024_pred192: MAE=0.3049, MSE=0.2575
ETTm2_base.py_ctx1024_pred336: MAE=0.3405, MSE=0.3109
ETTm2_base.py_ctx1024_pred720: MAE=0.3944, MSE=0.3939
ETTm2_base.py_ctx2048_pred96: MAE=0.2678, MSE=0.1928
ETTm2_base.py_ctx2048_pred192: MAE=0.3068, MSE=0.2491
ETTm2_base.py_ctx2048_pred336: MAE=0.3424, MSE=0.3019
ETTm2_base.py_ctx2048_pred720: MAE=0.3966, MSE=0.3875
ETTm2_large.py_ctx512_pred96: MAE=0.2612, MSE=0.1949
ETTm2_large.py_ctx512_pred192: MAE=0.3038, MSE=0.2633
ETTm2_large.py_ctx512_pred336: MAE=0.3423, MSE=0.329
ETTm2_large.py_ctx512_pred720: MAE=0.3971, MSE=0.4156
ETTm2_large.py_ctx720_pred96: MAE=0.2596, MSE=0.1933
ETTm2_large.py_ctx720_pred192: MAE=0.3018, MSE=0.2585
ETTm2_large.py_ctx720_pred336: MAE=0.3372, MSE=0.3139
ETTm2_large.py_ctx720_pred720: MAE=0.3906, MSE=0.3946
ETTm2_large.py_ctx1024_pred96: MAE=0.2596, MSE=0.1924
ETTm2_large.py_ctx1024_pred192: MAE=0.3021, MSE=0.2563
ETTm2_large.py_ctx1024_pred336: MAE=0.3387, MSE=0.3116
ETTm2_large.py_ctx1024_pred720: MAE=0.3914, MSE=0.3932
ETTm2_large.py_ctx2048_pred96: MAE=0.2593, MSE=0.1866
ETTm2_large.py_ctx2048_pred192: MAE=0.2965, MSE=0.241
ETTm2_large.py_ctx2048_pred336: MAE=0.33, MSE=0.2898
ETTm2_large.py_ctx2048_pred720: MAE=0.3841, MSE=0.3728
Weather_base.py_ctx512_pred96: MAE=0.2036, MSE=0.1734
Weather_base.py_ctx512_pred192: MAE=0.2473, MSE=0.2198
Weather_base.py_ctx512_pred336: MAE=0.2876, MSE=0.2741
Weather_base.py_ctx512_pred720: MAE=0.3393, MSE=0.353
Weather_base.py_ctx720_pred96: MAE=0.2008, MSE=0.1694
Weather_base.py_ctx720_pred192: MAE=0.2458, MSE=0.2166
Weather_base.py_ctx720_pred336: MAE=0.2855, MSE=0.2711
Weather_base.py_ctx720_pred720: MAE=0.3358, MSE=0.347
Weather_base.py_ctx1024_pred96: MAE=0.2026, MSE=0.1712
Weather_base.py_ctx1024_pred192: MAE=0.248, MSE=0.219
Weather_base.py_ctx1024_pred336: MAE=0.2881, MSE=0.2735
Weather_base.py_ctx1024_pred720: MAE=0.3433, MSE=0.3593
Weather_base.py_ctx2048_pred96: MAE=0.2024, MSE=0.1695
Weather_base.py_ctx2048_pred192: MAE=0.2497, MSE=0.2194
Weather_base.py_ctx2048_pred336: MAE=0.292, MSE=0.2785
Weather_base.py_ctx2048_pred720: MAE=0.3508, MSE=0.3709
Weather_large.py_ctx512_pred96: MAE=0.2036, MSE=0.1733
Weather_large.py_ctx512_pred192: MAE=0.247, MSE=0.2189
Weather_large.py_ctx512_pred336: MAE=0.2859, MSE=0.2712
Weather_large.py_ctx512_pred720: MAE=0.3387, MSE=0.3525
Weather_large.py_ctx720_pred96: MAE=0.1998, MSE=0.1681
Weather_large.py_ctx720_pred192: MAE=0.2439, MSE=0.2141
Weather_large.py_ctx720_pred336: MAE=0.283, MSE=0.2676
Weather_large.py_ctx720_pred720: MAE=0.3353, MSE=0.3469
Weather_large.py_ctx1024_pred96: MAE=0.2004, MSE=0.1686
Weather_large.py_ctx1024_pred192: MAE=0.2468, MSE=0.2172
Weather_large.py_ctx1024_pred336: MAE=0.2879, MSE=0.2734
Weather_large.py_ctx1024_pred720: MAE=0.346, MSE=0.3637
Weather_large.py_ctx2048_pred96: MAE=0.1995, MSE=0.1666
Weather_large.py_ctx2048_pred192: MAE=0.2459, MSE=0.2158
Weather_large.py_ctx2048_pred336: MAE=0.2888, MSE=0.276
Weather_large.py_ctx2048_pred720: MAE=0.351, MSE=0.3757
